Timestamp,Temperature,Light,Pollution_Level,Sound,Humidity,Dust,Bus_per_hour,Avg_Bus_Speed
2015-03-07 00:00,,,,,,,16,44
2015-03-07 01:00,,,,,,,2,31
2015-03-07 04:00,,,,,,,2,53
2015-03-07 05:00,,,,,,,5,24
2015-03-07 06:00,,,,,,,17,20
2015-03-07 07:00,,,,,,,20,18
2015-03-07 08:00,,,,,,,27,10
2015-03-07 09:00,,,,,,,23,18
2015-03-07 10:00,,,,,,,22,17
2015-03-07 11:00,,,,,,,36,17
2015-03-07 12:00,,,,,,,38,10
2015-03-07 13:00,,,,,,,40,9
2015-03-07 14:00,,,,,,,35,19
2015-03-07 15:00,,,,,,,25,5
2015-03-08 13:00,,,,,,,8,24
2015-03-08 14:00,,,,,,,15,22
2015-03-08 15:00,,,,,,,20,26
2015-03-08 16:00,,,,,,,16,23
2015-03-08 17:00,,,,,,,16,19
2015-03-08 18:00,,,,,,,17,23
2015-03-08 19:00,,,,,,,7,23
2015-03-08 20:00,,,,,,,17,29
2015-03-08 21:00,,,,,,,21,22
2015-03-08 22:00,,,,,,,9,22
2015-03-08 23:00,,,,,,,12,36
2015-03-09 00:00,,,,,,,6,19
2015-03-09 01:00,,,,,,,2,35
2015-03-09 04:00,,,,,,,1,49
2015-03-09 05:00,,,,,,,8,26
2015-03-09 06:00,,,,,,,21,9
2015-03-09 07:00,,,,,,,22,30
2015-03-09 08:00,,,,,,,22,14
2015-03-09 09:00,,,,,,,31,17
2015-03-09 10:00,,,,,,,24,17
2015-03-09 11:00,,,,,,,36,9
2015-03-09 12:00,,,,,,,28,27
2015-03-09 13:00,,,,,,,33,18
2015-03-09 14:00,,,,,,,28,22
2015-03-09 15:00,,,,,,,37,11
2015-03-09 16:00,,,,,,,27,18
2015-03-09 17:00,,,,,,,29,14
2015-03-09 18:00,,,,,,,35,10
2015-03-09 19:00,,,,,,,42,16
2015-03-09 20:00,,,,,,,36,18
2015-03-09 21:00,,,,,,,51,23
2015-03-09 22:00,,,,,,,45,28
2015-03-09 23:00,,,,,,,9,38
2015-03-10 00:00,,,,,,,11,17
2015-03-10 03:00,,,,,,,1,48
2015-03-10 05:00,,,,,,,5,19
2015-03-10 06:00,,,,,,,19,18
2015-03-10 07:00,,,,,,,31,21
2015-03-10 08:00,,,,,,,34,23
2015-03-10 09:00,,,,,,,43,10
2015-03-10 10:00,,,,,,,34,23
2015-03-10 11:00,,,,,,,32,22
2015-03-10 12:00,,,,,,,35,18
2015-03-10 13:00,,,,,,,30,13
2015-03-10 14:00,,,,,,,34,18
2015-03-10 15:00,,,,,,,30,18
2015-03-10 16:00,,,,,,,31,13
2015-03-10 17:00,,,,,,,25,14
2015-03-10 18:00,,,,,,,39,14
2015-03-10 19:00,,,,,,,57,15
2015-03-10 20:00,,,,,,,31,17
2015-03-10 21:00,,,,,,,35,23
2015-03-10 22:00,,,,,,,37,25
2015-03-10 23:00,,,,,,,18,30
2015-03-11 00:00,,,,,,,12,32
2015-03-11 03:00,,,,,,,2,42
2015-03-11 04:00,,,,,,,1,47
2015-03-11 05:00,,,,,,,5,16
2015-03-11 06:00,,,,,,,26,20
2015-03-11 07:00,,,,,,,29,13
2015-03-11 08:00,,,,,,,28,23
2015-03-11 09:00,,,,,,,40,23
2015-03-11 10:00,,,,,,,31,20
2015-03-11 11:00,,,,,,,44,7
2015-03-11 12:00,,,,,,,33,20
2015-03-11 13:00,,,,,,,35,20
2015-03-11 14:00,,,,,,,37,16
2015-03-11 15:00,,,,,,,42,11
2015-03-11 16:00,,,,,,,34,14
2015-03-11 17:00,,,,,,,30,13
2015-03-11 18:00,,,,,,,35,14
2015-03-11 19:00,,,,,,,40,8
2015-03-11 20:00,,,,,,,34,17
2015-03-11 21:00,,,,,,,47,27
2015-03-11 22:00,,,,,,,46,26
2015-03-11 23:00,,,,,,,24,24
2015-03-12 00:00,,,,,,,19,34
2015-03-12 01:00,,,,,,,4,42
2015-03-12 03:00,,,,,,,1,49
2015-03-12 04:00,,,,,,,1,47
2015-03-12 05:00,,,,,,,8,31
2015-03-12 06:00,,,,,,,22,24
2015-03-12 07:00,,,,,,,29,17
2015-03-12 08:00,,,,,,,37,15
2015-03-12 09:00,,,,,,,36,18
2015-03-12 10:00,,,,,,,40,14
2015-03-12 11:00,,,,,,,22,22
2015-03-12 12:00,,,,,,,40,19
2015-03-12 13:00,,,,,,,27,11
2015-03-12 14:00,,,,,,,35,19
2015-03-12 15:00,,,,,,,31,19
2015-03-12 16:00,,,,,,,37,12
2015-03-12 17:00,,,,,,,23,12
2015-03-12 18:00,,,,,,,43,8
2015-03-12 19:00,,,,,,,66,8
2015-03-12 20:00,,,,,,,33,19
2015-03-12 21:00,,,,,,,34,22
2015-03-12 22:00,,,,,,,57,21
2015-03-12 23:00,,,,,,,25,26
2015-03-13 00:00,,,,,,,14,38
2015-03-13 01:00,,,,,,,6,30
2015-03-13 03:00,,,,,,,2,40
2015-03-13 04:00,,,,,,,5,25
2015-03-13 05:00,,,,,,,4,17
2015-03-13 06:00,,,,,,,13,29
